id,centroid
515901,POINT (1759410.6969248627 5919184.664905095)
515902,POINT (1758684.2691662766 5919654.514862191)
516001,POINT (1759039.3785069147 5917159.470002367)
516002,POINT (1760110.562942101 5916429.106775069)
516003,POINT (1761178.6059553272 5916119.019229826)
516101,POINT (1759148.8978655569 5918142.05079139)
516102,POINT (1759936.47906937 5917815.763461683)
516201,POINT (1761128.310950903 5918085.403023671)
516202,POINT (1761063.2301440479 5917200.452326007)
516301,POINT (1763018.005079173 5917864.2142629335)
516302,POINT (1763105.5146275386 5916782.848809486)
516400,POINT (1762178.3415277035 5919674.166004622)
516500,POINT (1763531.047147599 5919318.861537178)
516601,POINT (1764186.5600965365 5919507.974151716)
516602,POINT (1764832.3057986016 5919040.8488039365)
516700,POINT (1765864.896116936 5919830.937673382)
516800,POINT (1767039.0086138644 5919529.286707847)
516900,POINT (1766626.4587431364 5918375.23702406)
517001,POINT (1765590.6834748308 5917520.974978502)
517002,POINT (1766907.149097588 5917539.0302435905)
517100,POINT (1766231.1507673764 5916386.36818222)
517201,POINT (1764692.5946513324 5917276.6374244075)
517202,POINT (1763935.3560126738 5915933.842157607)
517400,POINT (1758259.8509364673 5918499.582974882)
517500,POINT (1755459.8075319591 5917863.488397172)
517600,POINT (1754325.6152915384 5917560.873816493)
517701,POINT (1755000.3924670261 5916875.997453883)
517702,POINT (1754356.1834931094 5915948.84033373)
517703,POINT (1754885.8235204506 5915570.186237114)
517800,POINT (1753444.5381901294 5916917.544604362)
517901,POINT (1752186.4383999943 5916444.681735525)
517902,POINT (1752518.9439215236 5915337.46583221)
517903,POINT (1753138.5554935173 5915795.734742144)
518101,POINT (1756975.2733298214 5918059.8531939415)
518102,POINT (1756795.589087401 5917423.733260315)
518201,POINT (1756024.2595513184 5916793.561534597)
518202,POINT (1756882.4172459918 5916417.124302815)
518301,POINT (1756073.143708139 5915840.316219738)
518302,POINT (1756079.7835537537 5915250.413591653)
518500,POINT (1755832.9211757362 5914504.407612391)
518600,POINT (1757453.920874642 5914168.82653276)
518701,POINT (1756018.8137219301 5912888.407427067)
518702,POINT (1756914.8368228027 5912570.24696503)
518801,POINT (1753751.8323599822 5914754.651337854)
518802,POINT (1754303.3943425526 5914127.98597541)
518803,POINT (1755029.998270284 5913383.393640005)
518901,POINT (1753531.8505125262 5912869.221329774)
518902,POINT (1753084.685140627 5911604.632472726)
519001,POINT (1754222.3710682984 5911512.475049177)
519002,POINT (1755231.7174009345 5911690.446835035)
519200,POINT (1758869.4992820797 5916391.81972229)
519300,POINT (1758776.0970754656 5914890.422180185)
519400,POINT (1760154.911082701 5914703.591779747)
519500,POINT (1761744.2387734286 5912572.120513574)
519710,POINT (1758439.8632532144 5913313.735340817)
519720,POINT (1759416.3516840271 5913659.330224915)
519810,POINT (1758105.0153050546 5912303.464629304)
519820,POINT (1759193.1969041587 5912106.73372228)
519900,POINT (1760250.1451486952 5913439.707422979)
520000,POINT (1760331.3478224585 5912107.737798895)
520201,POINT (1761837.48096844 5915358.314310391)
520202,POINT (1761388.8946602968 5914502.685871662)
520301,POINT (1764804.3521417032 5915860.827361459)
520302,POINT (1763146.714077585 5915369.592753114)
520303,POINT (1763960.5516761045 5914450.529441066)
520401,POINT (1762847.0837140018 5914365.686037136)
520402,POINT (1763145.0921614096 5913416.779507395)
520500,POINT (1764118.037524292 5912091.207127245)
520601,POINT (1765886.7432783188 5915034.139508072)
520602,POINT (1765071.2966899513 5914147.528324925)
520801,POINT (1787679.2302639694 5925701.672340677)
520900,POINT (1777100.1389219202 5924872.491346951)
