area_unit_id,area_unit_name,2 + bedrooms needed (severely crowded),1 bedroom needed (crowded),total_crowded,total_crowded_percent,No extra bedrooms required,1 bedroom spare,2 or more bedrooms spare,total_not_crowded,total_not_crowded_percent,total_stated,total_unknown,total_households,average_household_size
521602,Howick Central,6,54,60,2.9, 465 , 819 , 720 ," 2,004 ",97.1," 2,064 ", 45 ," 2,109 ",2.6
521801,Otahuhu North,66,162,228,29.1, 297 , 186 , 72 , 555 ,70.9, 783 , 54 , 840 ,3.3
521802,Fairburn,96,162,258,27.7, 336 , 219 , 120 , 675 ,72.6, 930 , 108 ," 1,038 ",3.2
521803,Otahuhu East,42,69,111,23.4, 132 , 123 , 105 , 363 ,76.6, 474 , 30 , 507 ,3.7
521901,Otahuhu West,108,204,312,27.3, 381 , 291 , 156 , 831 ,72.7," 1,143 ", 168 ," 1,311 ",3.4
521902,Middlemore,,,,, ..C , ..C , ..C , ..C ,, ..C , ..C , ..C ,
522100,Papatoetoe West,78,171,246,18.1, 402 , 426 , 282 ," 1,113 ",81.7," 1,362 ", 165 ," 1,524 ",3.3
522201,Papatoetoe North,54,165,219,13.7, 465 , 549 , 375 ," 1,386 ",86.5," 1,602 ", 108 ," 1,713 ",2.9
522202,Papatoetoe Central,69,147,216,14.8, 426 , 522 , 300 ," 1,248 ",85.2," 1,464 ", 63 ," 1,527 ",2.7
522301,Dingwall,33,108,141,13.9, 291 , 342 , 243 , 876 ,86.1," 1,017 ", 39 ," 1,053 ",3.1
522302,Papatoetoe East,81,210,294,20.2, 438 , 426 , 303 ," 1,167 ",80.0," 1,458 ", 108 ," 1,566 ",3.3
522400,Puhinui North,42,96,138,11.7, 360 , 411 , 264 ," 1,038 ",88.3," 1,176 ", 102 ," 1,278 ",3.0
522601,Bucklands and Eastern Beaches,6,36,42,2.4, 303 , 570 , 834 ," 1,704 ",97.6," 1,746 ", 18 ," 1,764 ",2.9
522603,Bleakhouse,,6,6,1.0, 75 , 204 , 306 , 585 ,99.5, 588 , 18 , 606 ,3.1
522604,Bucklands Beach South,3,30,33,4.1, 159 , 270 , 348 , 777 ,95.6, 813 , 12 , 825 ,3.1
522711,Pigeon Mountain North,15,54,69,7.3, 255 , 336 , 294 , 882 ,92.7, 951 , 27 , 978 ,3.3
522712,Murvale,12,54,63,5.3, 309 , 432 , 381 ," 1,122 ",94.4," 1,188 ", 21 ," 1,209 ",3.3
522721,Pigeon Mountain South,6,9,15,3.0, 81 , 282 , 117 , 480 ,97.6, 492 , 6 , 498 ,2.4
522722,Highland Park,12,69,81,5.6, 285 , 558 , 519 ," 1,362 ",94.6," 1,440 ", 96 ," 1,536 ",2.7
522723,Elsmore Park,15,54,69,8.3, 240 , 249 , 276 , 765 ,91.7, 834 , 21 , 852 ,3.3
522730,Half Moon Bay,3,27,30,2.5, 189 , 423 , 549 ," 1,161 ",97.5," 1,191 ", 18 ," 1,209 ",2.8
522810,Pakuranga North,12,51,63,4.3, 279 , 504 , 612 ," 1,392 ",95.5," 1,458 ", 33 ," 1,488 ",2.9
522820,Sunnyhills,6,33,36,3.4, 156 , 342 , 540 ," 1,038 ",96.6," 1,074 ", 33 ," 1,107 ",2.9
522910,Pakuranga Central,15,54,69,6.7, 261 , 333 , 366 , 960 ,93.3," 1,029 ", 33 ," 1,062 ",3.1
522920,Edgewater,33,84,117,8.9, 393 , 468 , 342 ," 1,203 ",91.3," 1,317 ", 57 ," 1,377 ",2.8
523000,Pakuranga East,30,96,129,8.4, 366 , 534 , 501 ," 1,404 ",91.8," 1,530 ", 48 ," 1,578 ",3.2
523101,Howick South,9,54,63,4.0, 294 , 558 , 660 ," 1,512 ",96.0," 1,575 ", 18 ," 1,593 ",3.0
523102,Meadowland,6,30,36,2.6, 192 , 408 , 750 ," 1,347 ",97.2," 1,386 ", 18 ," 1,401 ",3.3
523105,Golfland,,15,18,2.2, 123 , 246 , 432 , 804 ,97.5, 825 , 18 , 840 ,2.8
523106,Millhouse,6,33,39,2.4, 201 , 492 , 879 ," 1,569 ",97.6," 1,608 ", 21 ," 1,629 ",3.1
523107,Burswood,9,36,45,8.4, 114 , 204 , 177 , 492 ,91.6, 537 , 18 , 558 ,3.1
523109,Dannemora,12,42,54,4.3, 237 , 441 , 513 ," 1,191 ",95.7," 1,245 ", 24 ," 1,269 ",3.1
523110,Kilkenny,6,6,12,1.6, 57 , 192 , 501 , 750 ,98.4, 762 , 15 , 777 ,3.5
523112,Highbrook,,3,3,12.5, 9 , 6 , 3 , 15 ,62.5, 24 , 6 , 30 ,2.2
523113,Greenmount,24,69,93,6.3, 372 , 534 , 492 ," 1,398 ",94.0," 1,488 ", 36 ," 1,527 ",2.9
523114,Point View,6,33,36,2.6, 147 , 402 , 792 ," 1,341 ",97.2," 1,380 ", 27 ," 1,404 ",3.4
523115,Baverstock Oaks,9,24,33,2.9, 120 , 300 , 699 ," 1,116 ",97.1," 1,149 ", 27 ," 1,179 ",3.8
