name,url,address,lat,lng
Otahuhu Family Practice,/doctors/gp/otahuhu-family-practice/,"115 Church Street, Otahuhu, Auckland",-36.9444107,174.8467297
Otahuhu Health Centre,/doctors/gp/otahuhu-health-centre/,"3/507 Great South Road, Otahuhu, Auckland",-36.9470557,174.84524520000002
Otahuhu Medical Clinic,/doctors/gp/otahuhu-medical-clinic/,"463 Great South Road, Otahuhu, Auckland",-36.9457784,174.8447281
Panmure Medical Centre,/doctors/gp/panmure-medical-centre/,"204 Queens Road, Panmure, Auckland",-36.9009175,174.8574874
Panmure Surgery,/doctors/gp/panmure-surgery-1/,Panmure Surgery,-36.900868,174.85722120000003
Parnell Family Doctor,/doctors/gp/parnell-family-doctor-1/,Parnell Family Doctor,-36.8593678,174.7819501
Parnell GP Clinic,/doctors/gp/parnell-gp-clinic/,"14 Fox Street, Parnell, Auckland",-36.85063929999999,174.77899960000002
Parnell Medical Centre,/doctors/gp/parnell-medical-centre/,"82B Gladstone Road, Parnell, Auckland",-36.8523073,174.78607799999997
Penrose Clinic,/doctors/gp/penrose-clinic/,"766 Great South Road, Penrose, Auckland",-36.91033729999999,174.8169556
Piritahi Hau Ora Trust General Practice,/doctors/gp/piritahi-hau-ora-trust-general-practice/,Piritahi Hau Ora Trust,-36.789162,175.00903519999997
Pogson Health Services Ltd,/doctors/gp/pogson-health-services-ltd/,"88 Jervois Road, Ponsonby, Auckland",-36.84560379999999,174.74079359999996
Point Chevalier Medical & Surgical Centre,/doctors/gp/point-chevalier-medical-surgical-centre/,"1181 Great North Road, Point Chevalier, Auckland",-36.8699814,174.7109122
Ponsonby Medical Centre,/doctors/gp/ponsonby-medical-centre/,"1 Vermont Street, Ponsonby, Auckland",-36.8529933,174.7452462
QuayMed Accident and Medical,/doctors/gp/quaymed-accident-and-medical/,Quay Park Health Building,-36.847517,174.7744872
Queen Street Doctors,/doctors/gp/queen-street-doctors/,"87 Queen Street, Auckland Central, Auckland",-36.8456216,174.7661584
Queen Street Medical Centre,/doctors/gp/queen-street-medical-centre/,"31 Queen Street, Otahuhu, Auckland",-36.9462635,174.84423449999997
Ranfurly Medical Centre,/doctors/gp/ranfurly-medical-centre/,"235 Manukau Road, Epsom, Auckland",-36.8847688,174.7753021
Raphael Medical Therapy Centre,/doctors/gp/raphael-medical-therapy-centre/,"11 Woodford Road, Mount Eden, Auckland",-36.8781605,174.7543771
